time,driverPlayerNum,driverPoints,globalSkill,globalConf,globalOverall,globalSpawn,globalPrecision,globalPunishment,globalRewardBias,driverSkill,driverConf,driverOverall,driverSpawn,driverPrecision,driverPunishment,driverRewardBias,driverCollectSuccess,driverCollectMiss,driverObstacleHit,driverMgPass,driverMgPerfect,driverMgFail
28.859,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.384,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.892,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30.399,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30.919,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31.423,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31.947,1,0,0.5000,0.0491,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0491,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32.458,1,0,0.5000,0.0491,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0491,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32.989,1,0,0.5000,0.0491,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0491,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33.506,1,0,0.5000,0.0613,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0613,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.022,1,0,0.5000,0.0613,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0613,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.535,1,0,0.5000,0.0842,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0842,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.071,1,0,0.5000,0.0842,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0842,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.600,1,0,0.5000,0.0842,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0842,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.111,1,0,0.5000,0.0842,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0842,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.622,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37.127,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37.642,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
