run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,curve_active,drift_check_active,drift_check_result,warning_active,warning_obstacle_id,driver_input_this_frame,inputs_per_second,hit_obstacle_id_this_frame,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
113.786,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
113.8788,1,0,0,0,0,0,0,-1,1,1.0000,-1,0,0,0,0,0
113.9386,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
113.9673,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
113.9872,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.0054,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.024,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.0502,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.0674,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.0851,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.1054,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.1267,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.1482,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.1703,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.1924,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.215,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.2349,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.2569,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.2783,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.2999,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.3218,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.343,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.3651,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.3868,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.4073,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.4293,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.4496,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.4734,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.494,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.5163,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.5375,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.5596,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.5798,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.6017,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.6236,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.645,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.6679,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.6899,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.7117,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.7338,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.7568,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.7775,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.8001,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.8246,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.8437,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.8665,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
114.8894,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
114.9105,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
114.9346,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
114.9552,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
114.9777,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
114.9995,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.0218,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.0645,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.0807,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.0975,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.1167,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.1388,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.1606,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.1838,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.2054,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.2282,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.2495,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.2714,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.2951,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.3167,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.3386,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.3619,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
115.3852,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
