run_time,frame,delta_time,speed,pos_x,pos_y,pos_z,steer,throttle,brake,slow_brake,input_count_frame,inputs_per_second,collision_count,last_warning_reaction,last_hazard_reaction,last_drift_reaction,last_reaction_type,last_cue_type
0.0515,1714,0.0515,0.0000,25.8641,-136.2110,745.8452,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.0796,1715,0.0281,0.0000,25.3500,-136.1778,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.0903,1716,0.0107,0.0000,25.3500,-136.1778,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.1082,1717,0.0179,0.0000,25.3500,-136.1469,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.1336,1718,0.0255,0.0000,25.3500,-136.1459,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.1584,1719,0.0248,0.0000,25.3500,-136.1459,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2005,1720,0.0421,0.0000,25.3500,-136.1112,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2269,1721,0.0264,0.0000,25.3500,-136.1112,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2384,1722,0.0115,0.0000,25.3500,-136.0972,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2586,1723,0.0202,0.0000,25.3500,-136.0971,738.9199,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2764,1724,0.0178,0.0000,25.3500,-136.0972,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.2993,1725,0.0229,0.0000,25.3500,-136.0931,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.3205,1726,0.0213,0.0000,25.3500,-136.0931,738.9200,0.0000,0.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
0.3425,1727,0.0220,0.0000,25.3500,-136.0931,738.9200,0.0000,0.0588,0.0000,0.0000,1,1,0,-1.0000,-1.0000,-1.0000,,
0.3655,1728,0.0230,0.0052,25.3500,-136.0910,738.9201,0.0000,1.0000,0.0000,0.0000,1,2,0,-1.0000,-1.0000,-1.0000,,
0.3873,1729,0.0218,0.0970,25.3500,-136.0910,738.9201,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.4094,1730,0.0221,0.1842,25.3500,-136.0910,738.9201,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.4312,1731,0.0218,0.2728,25.3500,-136.0903,738.9305,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.4533,1732,0.0221,0.3600,25.3500,-136.0903,738.9305,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.4752,1733,0.0219,0.4486,25.3500,-136.0903,738.9305,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
