run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,warning_obstacle_result,collision_count_total
0.0000,-1,0,0,0,0,-1.0000,0.0000,,0
0.0912,-1,0,0,0,0,-1.0000,0.0000,,0
0.1184,-1,0,0,0,0,-1.0000,0.0000,,0
0.1417,-1,0,0,0,0,-1.0000,0.0000,,0
0.1706,-1,0,0,0,0,-1.0000,0.0000,,0
0.1975,-1,0,0,0,1,-1.0000,1.0000,,0
0.2239,-1,0,0,0,0,-1.0000,1.0000,,0
0.2501,-1,0,0,0,0,-1.0000,1.0000,,0
0.2755,-1,0,0,0,0,-1.0000,1.0000,,0
0.3043,-1,0,0,0,0,-1.0000,1.0000,,0
0.3284,-1,0,0,0,0,-1.0000,1.0000,,0
0.3576,-1,0,0,0,0,-1.0000,1.0000,,0
0.3846,-1,0,0,0,0,-1.0000,1.0000,,0
0.4098,-1,0,0,0,0,-1.0000,1.0000,,0
0.4359,-1,0,0,0,0,-1.0000,1.0000,,0
0.4613,-1,0,0,0,0,-1.0000,1.0000,,0
0.4848,-1,0,0,0,0,-1.0000,1.0000,,0
0.5145,-1,0,0,0,0,-1.0000,1.0000,,0
0.5408,-1,0,0,0,0,-1.0000,1.0000,,0
0.5652,-1,0,0,0,0,-1.0000,1.0000,,0
0.5908,-1,0,0,0,0,-1.0000,1.0000,,0
0.6176,-1,0,0,0,0,-1.0000,1.0000,,0
0.6410,-1,0,0,0,0,-1.0000,1.0000,,0
0.6651,-1,0,0,0,0,-1.0000,1.0000,,0
0.6907,-1,0,0,0,0,-1.0000,1.0000,,0
0.7137,-1,0,0,0,0,-1.0000,1.0000,,0
0.7402,-1,0,0,0,0,-1.0000,1.0000,,0
0.7679,-1,0,0,0,0,-1.0000,1.0000,,0
0.7900,-1,0,0,0,0,-1.0000,1.0000,,0
0.8157,-1,0,0,0,0,-1.0000,1.0000,,0
0.8410,-1,0,0,0,0,-1.0000,1.0000,,0
0.8664,-1,0,0,0,0,-1.0000,1.0000,,0
0.8918,-1,0,0,0,0,-1.0000,1.0000,,0
0.9197,-1,0,0,0,0,-1.0000,1.0000,,0
0.9452,-1,0,0,0,0,-1.0000,1.0000,,0
0.9711,-1,0,0,0,0,-1.0000,1.0000,,0
0.9945,-1,0,0,0,0,-1.0000,1.0000,,0
1.0218,-1,0,0,0,0,-1.0000,1.0000,,0
1.0418,-1,0,0,0,0,-1.0000,1.0000,,0
1.0761,-1,0,0,0,0,-1.0000,1.0000,,0
1.1083,-1,0,0,0,0,-1.0000,1.0000,,0
1.1396,-1,0,0,0,0,-1.0000,1.0000,,0
1.1688,-1,0,0,0,0,-1.0000,1.0000,,0
1.1978,-1,0,0,0,0,-1.0000,0.0000,,0
1.2253,-1,0,0,0,0,-1.0000,0.0000,,0
1.2573,-1,0,0,0,0,-1.0000,0.0000,,0
1.2851,-1,0,0,0,0,-1.0000,0.0000,,0
1.3166,-1,0,0,0,0,-1.0000,0.0000,,0
1.3451,-1,0,0,0,0,-1.0000,0.0000,,0
1.3720,-1,0,0,0,0,-1.0000,0.0000,,0
1.4015,-1,0,0,0,0,-1.0000,0.0000,,0
1.4316,-1,0,0,0,0,-1.0000,0.0000,,0
1.4629,-1,0,0,0,0,-1.0000,0.0000,,0
1.4898,-1,0,0,0,0,-1.0000,0.0000,,0
1.5179,-1,0,0,0,0,-1.0000,0.0000,,0
1.5480,-1,0,0,0,0,-1.0000,0.0000,,0
1.5762,-1,0,0,0,0,-1.0000,0.0000,,0
1.6067,-1,0,0,0,0,-1.0000,0.0000,,0
1.6343,-1,0,0,0,0,-1.0000,0.0000,,0
1.6614,-1,0,0,0,0,-1.0000,0.0000,,0
1.6921,-1,0,0,0,1,-1.0000,1.0000,,0
1.7168,-1,0,0,0,1,-1.0000,2.0000,,0
1.7439,-1,0,0,0,1,-1.0000,3.0000,,0
1.7747,-1,0,0,0,0,-1.0000,3.0000,,0
1.7992,-1,0,0,0,0,-1.0000,3.0000,,0
1.8287,-1,0,0,0,0,-1.0000,3.0000,,0
1.8593,-1,0,0,0,0,-1.0000,3.0000,,0
1.8840,-1,0,0,0,0,-1.0000,3.0000,,0
1.9104,-1,0,0,0,0,-1.0000,3.0000,,0
1.9374,-1,0,0,0,0,-1.0000,3.0000,,0
1.9617,-1,0,0,0,0,-1.0000,3.0000,,0
